date,product,category,region,quantity,unit_price,total_sales,customer_rating
2024-01-05,Widget A,Electronics,North,150,29.99,4498.50,4.5
2024-01-07,Gadget B,Electronics,South,200,49.99,9998.00,4.2
2024-01-10,Tool C,Hardware,East,75,15.99,1199.25,3.8
2024-01-12,Widget A,Electronics,West,180,29.99,5398.20,4.7
2024-01-15,Gadget B,Electronics,North,120,49.99,5998.80,4.0
2024-01-18,Supplies D,Office,South,500,5.99,2995.00,4.1
2024-01-20,Tool C,Hardware,East,90,15.99,1439.10,4.3
2024-01-22,Widget A,Electronics,North,220,29.99,6597.80,4.8
2024-01-25,Gadget B,Electronics,West,95,49.99,4749.05,3.9
2024-01-28,Supplies D,Office,South,600,5.99,3594.00,4.4
2024-02-02,Tool C,Hardware,North,110,15.99,1758.90,4.0
2024-02-05,Widget A,Electronics,East,170,29.99,5098.30,4.6
2024-02-08,Gadget B,Electronics,South,180,49.99,8998.20,4.1
2024-02-10,Supplies D,Office,West,450,5.99,2695.50,3.7
2024-02-12,Tool C,Hardware,North,85,15.99,1359.15,4.2
2024-02-15,Widget A,Electronics,South,200,29.99,5998.00,4.9
2024-02-18,Gadget B,Electronics,East,150,49.99,7498.50,4.3
2024-02-20,Supplies D,Office,West,550,5.99,3294.50,4.0
2024-02-22,Tool C,Hardware,South,95,15.99,1519.05,3.8
2024-02-25,Widget A,Electronics,North,250,29.99,7497.50,4.7
2024-03-01,Gadget B,Electronics,West,130,49.99,6498.70,4.2
2024-03-05,Supplies D,Office,East,480,5.99,2875.20,4.5
2024-03-08,Tool C,Hardware,North,100,15.99,1599.00,4.1
2024-03-10,Widget A,Electronics,South,190,29.99,5698.10,4.8
2024-03-12,Gadget B,Electronics,East,160,49.99,7998.40,4.4
2024-03-15,Supplies D,Office,North,520,5.99,3114.80,3.9
2024-03-18,Tool C,Hardware,West,80,15.99,1279.20,4.0
2024-03-20,Widget A,Electronics,East,210,29.99,6297.90,4.6
2024-03-22,Gadget B,Electronics,North,140,49.99,6998.60,4.3
2024-03-25,Supplies D,Office,South,470,5.99,2815.30,4.2
2024-03-28,Tool C,Hardware,West,115,15.99,1838.85,4.1
2024-04-02,Widget A,Electronics,North,230,29.99,6897.70,4.7
2024-04-05,Gadget B,Electronics,South,175,49.99,8748.25,4.5
2024-04-08,Supplies D,Office,East,490,5.99,2935.10,4.0
2024-04-10,Tool C,Hardware,North,105,15.99,1678.95,3.9
2024-04-12,Widget A,Electronics,West,195,29.99,5848.05,4.8
2024-04-15,Gadget B,Electronics,East,165,49.99,8248.35,4.2
2024-04-18,Supplies D,Office,South,530,5.99,3174.70,4.3
2024-04-20,Tool C,Hardware,West,88,15.99,1407.12,4.1
2024-04-22,Widget A,Electronics,South,240,29.99,7197.60,4.9
